,REF_AREA_LABEL,TIME_PERIOD,HI,LF,UR,URFF,YUA,FDI,QOR,QOA,EPFR,GGA,OCTB,EIAP,PS,PDPS,P65,P014,PGP,VABI,GCFP,GGFC,GDPCG,EII,EIA,EBSG,GDPC,GDP,EIS,NINA,LBGD,EMP,LTU,FEM
0,Finland,2000,,2.6,11.13,11.99,29.33,10.72,,,8718.58,69644.0,214.0,6.21,5.18,17.0,14.92,18.15,0.21,31.6,23.8741513058525,19.7454284164064,5.53441379935349,27.9523795517383,6.20806414218137,9.17102928453067,26348.6269584555,187521651000.0,65.8395563060803,1.89402450834641,6.67003944686405,,,
1,Finland,2001,,2.63,10.29,10.76,27.32,2.49,,,8341.72,75434.0,212.0,5.84,5.19,17.0,15.08,18.0,0.23,30.95,23.1797971136758,19.9276690200743,2.40682902219235,27.0787452624024,5.83704187706199,9.25228022376965,27874.4751357361,192472714000.0,67.0842551794066,1.6014293131008,5.40684447456314,,,
2,Finland,2002,,2.65,10.42,10.17,28.8,5.77,,,9053.87,77694.0,219.0,5.53,5.2,17.0,15.25,17.87,0.24,30.12,22.0594179466451,20.6339261654541,1.44115409187744,27.1472199755126,5.52698974701279,8.9733225545675,28542.871415941,195720357000.0,67.3258323375608,1.76642381894248,4.43546213958502,,,
3,Finland,2003,,2.67,10.47,9.94,28.1,3.48,,,9474.1,85920.0,223.0,5.28,5.21,17.0,15.46,17.72,0.24,29.54,22.231962772058,21.1015463305957,1.76883520334854,26.697658591249,5.27651974069373,6.58739470319153,29102.9335428602,199657859000.0,68.0258216680573,1.82415783044275,3.11309437494233,,,
4,Finland,2004,,2.67,10.36,10.58,27.4,3.43,,,10561.32,81847.0,221.0,5.01,5.23,17.0,15.72,17.55,0.29,29.38,22.8724778097656,21.1867129475057,3.70383750334673,26.0696950423459,5.0090382619757,6.27122167555956,30362.6200515209,207654914000.0,68.9212666956784,2.00520886953658,2.99040575528691,,,
5,Finland,2005,,2.7,9.6,9.65,26.78,5.31,,,9683.57,69487.0,219.0,4.83,5.25,17.0,15.94,17.36,0.34,29.26,24.6073870744416,21.4142567378815,2.42615653951086,25.806069231984,4.8250742913863,3.96803225923992,31388.2933137327,213422133000.0,69.3688154599914,1.80924279827428,3.38017562824141,:,:,
6,Finland,2006,,2.72,8.94,9.14,25.77,2.14,5.45,6.28,10971.71,81097.0,222.0,4.67,5.27,17.0,16.23,17.17,0.38,30.25,24.0013652587917,21.3252266271744,3.62113497225309,25.6920985541388,4.67005593217804,4.16577481328929,32824.1935275607,222000792000.0,69.6378455136831,1.52048794113687,4.30519318990403,:,:,
7,Finland,2007,,2.68,6.85,7.19,16.43,8.57,5.64,6.31,10146.43,79087.0,223.0,4.54,5.29,17.0,16.49,16.98,0.43,30.67,25.5534350124827,20.7683137405845,4.86572137220107,25.7175408018888,4.53696121685415,4.79474390432965,35369.4277632395,233795254000.0,69.7454979812571,1.65019021837673,5.292982428004,:,:,:
8,Finland,2008,,2.72,6.37,6.69,16.34,6.79,5.84,6.43,10668.59,70815.0,217.0,4.52,5.31,17.0,16.63,16.8,0.47,29.57,25.2485161104333,21.5662048977365,0.316320525705208,25.1485804324585,4.52077844740036,3.61590297189747,36559.0839310204,235629217000.0,70.3306017871345,1.63520905208667,4.56981359361245,:,:,:
9,Finland,2009,,2.69,8.25,7.57,21.38,-3.48,5.89,6.33,9012.97,67296.0,206.0,4.63,5.34,18.0,16.88,16.67,0.48,25.66,21.4741244119185,24.0691116185655,-8.51460466433139,23.9446059077728,4.62685743680617,2.03868269733403,34039.9683753363,216599728000.0,71.4285772240965,1.81601282861526,-1.86040113351858,72.6,1.7,71.5
